,time,accumulation,well_1,well_2,well_3,well_4,well_5,well_6,well_7,well_8,well_9,well_10,well_11,well_12,well_13,well_14,well_15,well_16,B8,well1,well2,well3,well4,well5,well6,well7,well8,well9,well10,well11,well12,well13,well14,well15,well16
0,12:36:03,0.0,29,15,5,45,47,7,12,23,23,12,7,15,17,7,12,18,,-0.010238907849829375,-0.019607843137254947,0.0,-0.054621848739495826,-0.046653144016227124,0.0,0.043478260869565216,-0.03765690376569032,-0.012875536480686725,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
1,12:36:34,0.5166666666666667,30,15,5,46,48,7,12,24,24,12,7,15,17,7,12,18,,0.023890784982935127,-0.019607843137254947,0.0,-0.03361344537815129,-0.026369168356997916,0.0,0.043478260869565216,0.004184100418410101,0.03004291845493559,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
2,12:37:04,1.0166666666666666,29,15,5,47,49,7,12,24,23,12,7,15,17,7,12,18,,-0.010238907849829375,-0.019607843137254947,0.0,-0.012605042016806753,-0.006085192697768705,0.0,0.043478260869565216,0.004184100418410101,-0.012875536480686725,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
3,12:37:35,1.5333333333333334,29,15,5,48,50,7,12,24,23,12,7,15,18,7,12,18,,-0.010238907849829375,-0.019607843137254947,0.0,0.008403361344537785,0.014198782961460505,0.0,0.043478260869565216,0.004184100418410101,-0.012875536480686725,0.0,0.0,0.0,0.058823529411764705,0.014492753623188354,0.0,0.0
4,12:38:03,2.0,30,16,5,49,51,7,12,24,24,12,7,15,17,7,12,18,,0.023890784982935127,0.04575163398692805,0.0,0.02941176470588232,0.03448275862068972,0.0,0.043478260869565216,0.004184100418410101,0.03004291845493559,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
5,12:38:34,2.5166666666666666,30,15,5,47,49,7,12,24,24,12,7,15,17,7,12,18,,0.023890784982935127,-0.019607843137254947,0.0,-0.012605042016806753,-0.006085192697768705,0.0,0.043478260869565216,0.004184100418410101,0.03004291845493559,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
6,12:39:04,3.0166666666666666,30,16,5,48,50,7,11,24,24,12,7,15,17,7,12,18,,0.023890784982935127,0.04575163398692805,0.0,0.008403361344537785,0.014198782961460505,0.0,-0.043478260869565216,0.004184100418410101,0.03004291845493559,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
7,12:39:35,3.533333333333333,29,15,5,47,49,7,11,24,23,12,7,15,17,7,12,18,,-0.010238907849829375,-0.019607843137254947,0.0,-0.012605042016806753,-0.006085192697768705,0.0,-0.043478260869565216,0.004184100418410101,-0.012875536480686725,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
8,12:40:03,4.0,29,15,5,47,49,7,12,24,23,12,7,15,17,7,12,18,,-0.010238907849829375,-0.019607843137254947,0.0,-0.012605042016806753,-0.006085192697768705,0.0,0.043478260869565216,0.004184100418410101,-0.012875536480686725,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
9,12:40:34,4.516666666666667,29,16,5,47,49,7,12,24,23,12,7,15,17,7,12,18,,-0.010238907849829375,0.04575163398692805,0.0,-0.012605042016806753,-0.006085192697768705,0.0,0.043478260869565216,0.004184100418410101,-0.012875536480686725,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
10,12:41:04,5.016666666666667,29,15,5,48,49,7,11,23,23,12,7,15,17,7,12,18,,-0.010238907849829375,-0.019607843137254947,0.0,0.008403361344537785,-0.006085192697768705,0.0,-0.043478260869565216,-0.03765690376569032,-0.012875536480686725,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
11,12:41:35,5.533333333333333,29,15,5,47,49,7,12,24,23,12,7,15,17,6,12,18,,-0.010238907849829375,-0.019607843137254947,0.0,-0.012605042016806753,-0.006085192697768705,0.0,0.043478260869565216,0.004184100418410101,-0.012875536480686725,0.0,0.0,0.0,0.0,-0.1304347826086957,0.0,0.0
