,CT_Value
well_1,N/A
well_2,N/A
well_3,N/A
well_4,13.18
well_5,N/A
well_6,N/A
well_7,N/A
well_8,N/A
well_9,N/A
well_10,N/A
well_11,N/A
well_12,N/A
well_13,N/A
well_14,N/A
well_15,N/A
well_16,N/A
