,CT_Value
well_1,45.14
well_2,24.54
well_3,26.27
well_4,26.12
well_5,24.77
well_6,23.02
well_7,26.63
well_8,22.05
well_9,26.09
well_10,27.1
well_11,24.4
well_12,26.27
well_13,25.63
well_14,25.86
well_15,26.14
well_16,26.99
