,well1,well2,well3,well4,well5,well6,well7,well8,well9,well10,well11,well12,well13,well14,well15,well16
36,-0.003720333547145542,0.001652892561983471,-0.003494623655914038,-0.017988007994670305,-0.006535947712418303,0.005714285714285714,0.025276461295418613,-0.006666666666666665,0.008394403730846005,-0.005007824726134628,0.0035087719298246096,-0.010150891632373014,-0.010632183908045986,0.0008862629246676266,-0.010380622837370266,0.014418272662384043
37,-0.006542655548428415,-0.001652892561983471,-0.003494623655914038,-0.02091938707528323,-0.009150326797385623,0.0,0.025276461295418613,-0.006666666666666665,0.00546302465023308,-0.005007824726134628,-0.00016708437761064516,-0.010150891632373014,-0.010632183908045987,0.0008862629246676266,-0.014186851211072691,0.017558886509636006
38,-0.0037203335471455413,-0.001652892561983471,-0.0005376344086022097,-0.02091938707528323,-0.009150326797385623,0.0,0.021800947867298547,-0.006666666666666665,0.008394403730846003,-0.005007824726134628,-0.0038429406850459006,-0.004115226337448459,-0.010632183908045987,0.000886262924667626,-0.014186851211072691,0.023840114204139933
39,-0.0008980115458626676,0.001652892561983471,0.0024193548387096185,-0.02091938707528323,-0.009150326797385623,0.0,0.014849921011058424,-0.006666666666666665,0.008394403730846003,-0.005007824726134628,-0.0038429406850459006,-0.001097393689986182,-0.010632183908045987,0.000886262924667626,-0.017993079584775112,0.03012134189864386
40,0.007568954457985955,0.008264462809917356,0.01720430107526876,-0.012125249833444455,-0.0013071895424836624,0.008571428571428572,0.02180094786729855,1.3877787807814458e-18,0.017188540972684775,0.0018779342723004259,0.007184628237259865,0.010973936899862929,-0.0011494252873563322,0.010635155096011793,-0.006574394463667846,0.03012134189864386
41,0.007568954457985955,0.011570247933884299,0.02903225806451607,-0.012125249833444455,-0.0013071895424836624,0.005714285714285715,0.014849921011058424,1.3877787807814458e-18,0.014257161892071851,-0.0015649452269171009,0.007184628237259865,0.010973936899862929,-0.0011494252873563322,0.010635155096011793,-0.010380622837370268,0.026980728051391893
42,0.01885824246311745,0.021487603305785124,0.04973118279569887,-0.00919387075283153,0.0013071895424836577,0.008571428571428572,0.011374407582938359,0.003333333333333335,0.0201199200532977,-0.005007824726134628,0.01086048454469512,0.010973936899862929,-0.0011494252873563322,0.010635155096011793,-0.010380622837370268,0.026980728051391893
43,0.035792174470814696,0.03471074380165289,0.07338709677419349,-0.012125249833444453,0.0013071895424836577,0.0028571428571428576,0.004423380726698232,1.3877787807814458e-18,0.023051299133910623,-0.011893583724569683,0.0035087719298246105,-0.004115226337448458,-0.010632183908045987,0.000886262924667626,-0.017993079584775112,0.017558886509636003
44,0.05837075048107769,0.06115702479338843,0.12069892473118271,-0.012125249833444455,0.006535947712418298,0.005714285714285715,0.0009478672985781693,1.3877787807814458e-18,0.023051299133910623,-0.01533646322378721,0.007184628237259866,-0.007133058984910736,-0.010632183908045987,-0.0023633677991137625,-0.017993079584775112,0.011277658815132074
45,0.09223861449647218,0.10082644628099173,0.19166666666666657,-0.015056628914057379,0.006535947712418298,0.0028571428571428576,-0.006003159557661957,-0.003333333333333332,0.0201199200532977,-0.018779342723004737,-0.0001670843776106448,-0.019204389574759846,-0.020114942528735642,-0.012112259970457928,-0.029411764705882377,0.004996431120628149
46,0.14021808851828105,0.16033057851239668,0.3010752688172042,-0.012125249833444455,0.01699346405228758,0.014285714285714287,-0.002527646129541894,-0.006666666666666665,0.0201199200532977,-0.018779342723004737,0.0035087719298246096,-0.016186556927297566,-0.016954022988505756,-0.012112259970457928,-0.025605536332179952,0.0018558172733761861
47,0.21642078255291866,0.25289256198347104,0.4489247311827955,-0.0033311125916056826,0.032679738562091505,0.02857142857142857,0.004423380726698232,-0.003333333333333332,0.020119920053297703,-0.018779342723004737,0.007184628237259865,-0.016186556927297566,-0.010632183908045987,-0.012112259970457928,-0.017993079584775105,-0.0012847965738757774
48,0.3123797305965364,0.368595041322314,0.6263440860215053,0.008394403730846016,0.056209150326797394,0.054285714285714284,0.011374407582938359,1.3877787807814458e-18,0.014257161892071855,-0.018779342723004737,0.010860484544695119,-0.016186556927297566,-0.0011494252873563322,-0.012112259970457928,-0.017993079584775105,-0.0012847965738757774
49,0.4393842206542657,0.5173553719008265,0.8215053763440858,0.03477681545636234,0.09803921568627452,0.09142857142857143,0.021800947867298547,0.003333333333333335,0.01718854097268478,-0.011893583724569685,0.010860484544695119,-0.013168724279835287,0.017816091954022978,-0.00886262924667654,-0.017993079584775105,-0.0012847965738757774
50,0.5776779987171266,0.6859504132231404,1.0018817204301074,0.07288474350433036,0.17124183006535948,0.1542857142857143,0.025276461295418606,0.01,0.014257161892071856,-0.011893583724569685,0.01821219715956563,-0.0010973936899861766,0.055747126436781605,-0.0023633677991137633,-0.010380622837370262,-0.0012847965738757774
51,0.7385503527902503,0.8776859504132231,1.1763440860215053,0.12564956695536297,0.2679738562091503,0.23714285714285716,0.025276461295418606,0.02,0.014257161892071856,-0.008450704225352159,0.01821219715956563,-0.0010973936899861766,0.10316091954022988,-0.005612998522895152,-0.014186851211072684,0.00813704496788011
52,0.8937780628608083,1.0661157024793388,1.318279569892473,0.21065956029313776,0.40130718954248357,0.35714285714285715,0.03222748815165873,0.030000000000000006,0.01718854097268478,0.001877934272300423,0.02556390977443614,0.010973936899862934,0.182183908045977,0.004135893648449014,-0.014186851211072684,0.011277658815132074
53,1.0405388069275179,1.2446280991735537,1.4395161290322578,0.32205196535642894,0.5529411764705882,0.49714285714285716,0.03222748815165873,0.04,0.023051299133910623,0.012206572769953005,0.029239766081871392,0.01399176954732521,0.2833333333333333,0.004135893648449014,-0.010380622837370262,0.011277658815132074
54,1.1731879409878128,1.4033057851239668,1.5370967741935482,0.45982678214523637,0.715032679738562,0.6599999999999999,0.042654028436018926,0.056666666666666664,0.02891405729513647,0.015649452269170534,0.029239766081871392,0.017009602194787487,0.4160919540229885,0.007385524372230402,-0.00657439446366784,0.011277658815132074
55,1.2889031430404105,1.5421487603305786,1.6258064516129032,0.6239840106595601,0.8718954248366012,0.8314285714285715,0.0635071090047393,0.08333333333333333,0.04063957361758817,0.022535211267605586,0.02556390977443614,0.010973936899862933,0.5741379310344827,0.004135893648449015,-0.00657439446366784,0.011277658815132074
