,CT_Value
well_1,11.33
well_2,13.99
well_3,17.3
well_4,21.58
well_5,24.35
well_6,27.08
well_7,35.83
well_8,31.03
well_9,N/A
well_10,N/A
well_11,N/A
well_12,N/A
well_13,N/A
well_14,N/A
well_15,N/A
well_16,N/A
