,CT_Value
well_1,N/A
well_2,16.07
well_3,17.35
well_4,21.88
well_5,24.67
well_6,27.47
well_7,35.75
well_8,30.81
well_9,N/A
well_10,N/A
well_11,N/A
well_12,N/A
well_13,N/A
well_14,N/A
well_15,N/A
well_16,N/A
