,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
well1,,,,,0.0068493150684931755,0.013698630136986328,0.013698630136986328,0.013698630136986325,0.013698630136986325,0.0068493150684931755,2.42861286636753e-17,-0.006849315068493127,-0.006849315068493127,-0.006849315068493127,-0.006849315068493127,-0.006849315068493127,-0.006849315068493127,-0.006849315068493127,-0.006849315068493127,2.42861286636753e-17,2.42861286636753e-17,2.42861286636753e-17,2.42861286636753e-17,2.42861286636753e-17,-0.006849315068493127,2.42861286636753e-17,0.0068493150684931755,0.013698630136986328,0.013698630136986325,0.013698630136986325,0.013698630136986328,0.013698630136986328,0.013698630136986328,0.02739726027397263,0.02739726027397263,0.02739726027397263,0.020547945205479475,0.02054794520547948,0.013698630136986328,0.013698630136986325
well2,,,,,4.718447854656915e-17,4.718447854656915e-17,0.013157894736842155,0.013157894736842155,0.013157894736842151,0.013157894736842155,0.013157894736842155,4.85722573273506e-17,4.85722573273506e-17,4.85722573273506e-17,-0.013157894736842058,-0.013157894736842058,-0.013157894736842058,-0.013157894736842058,-0.013157894736842058,4.9960036108132046e-17,4.926614671774132e-17,4.926614671774132e-17,0.013157894736842157,0.026315789473684265,0.013157894736842157,0.026315789473684265,0.03947368421052637,0.03947368421052637,0.026315789473684265,0.026315789473684265,0.026315789473684265,0.013157894736842157,0.013157894736842157,0.026315789473684265,0.026315789473684265,0.026315789473684265,0.026315789473684265,0.026315789473684258,0.026315789473684258,0.026315789473684265
well3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well4,,,,,-0.010526315789473684,-0.002105263157894737,0.00631578947368421,0.00631578947368421,0.0021052631578947377,-0.0063157894736842095,-0.0021052631578947364,-0.0063157894736842095,-0.0021052631578947364,0.0021052631578947377,0.00631578947368421,0.00631578947368421,0.010526315789473686,0.01473684210526316,0.018947368421052633,0.02736842105263158,0.04,0.05263157894736842,0.06947368421052631,0.09473684210526316,0.12421052631578948,0.16631578947368422,0.22526315789473683,0.30105263157894735,0.39789473684210525,0.5157894736842106,0.6589473684210526,0.8231578947368421,1.0084210526315789,1.1978947368421053,1.391578947368421,1.5768421052631578,1.7452631578947368,1.8926315789473684,2.023157894736842,2.1326315789473687
well5,,,,,0.0,0.008163265306122448,0.016326530612244896,0.016326530612244896,0.012244897959183673,0.004081632653061224,0.004081632653061224,0.0,0.0,0.0,-0.004081632653061224,-0.004081632653061224,-0.004081632653061224,-0.004081632653061224,-0.008163265306122448,-0.004081632653061224,-0.008163265306122448,-0.008163265306122448,-0.008163265306122448,-0.004081632653061224,-0.004081632653061224,0.0,0.0,0.0,-0.004081632653061224,-0.004081632653061224,-0.004081632653061224,-0.004081632653061224,-0.004081632653061224,0.0,-0.004081632653061224,-0.004081632653061224,-0.004081632653061224,-0.004081632653061224,-0.004081632653061224,0.0
well6,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well7,,,,,0.043478260869565216,0.043478260869565216,0.02608695652173913,0.008695652173913044,0.008695652173913044,0.008695652173913044,-0.008695652173913044,0.008695652173913044,0.008695652173913044,-0.008695652173913044,-0.008695652173913044,0.008695652173913044,0.008695652173913044,0.02608695652173913,0.02608695652173913,0.02608695652173913,0.008695652173913044,0.008695652173913044,0.008695652173913044,0.02608695652173913,0.008695652173913044,0.02608695652173913,0.02608695652173913,0.008695652173913044,-0.008695652173913044,-0.008695652173913044,-0.008695652173913044,-0.008695652173913044,0.008695652173913044,0.008695652173913044,0.008695652173913044,0.008695652173913044,-0.008695652173913044,-0.008695652173913044,0.008695652173913044,0.02608695652173913
well8,,,,,-0.004184100418409983,0.004184100418410101,0.004184100418410101,0.004184100418410101,0.004184100418410101,0.004184100418410101,-0.004184100418409983,-0.004184100418409983,-0.004184100418409983,-0.004184100418409983,-0.004184100418409983,-0.004184100418409983,-0.01255230125523007,-0.01255230125523007,-0.01255230125523007,-0.01255230125523007,-0.004184100418409983,0.004184100418410101,0.004184100418410101,0.004184100418410101,0.004184100418410101,0.004184100418410101,0.004184100418410101,0.004184100418410101,0.004184100418410101,0.004184100418410101,0.004184100418410101,0.004184100418410101,0.004184100418410101,0.004184100418410101,-0.004184100418409983,0.004184100418410101,0.004184100418410101,0.004184100418410101,0.004184100418410101,0.012552301255230186
well9,,,,,0.008620689655172445,0.017241379310344862,0.017241379310344862,0.017241379310344862,0.01724137931034486,0.008620689655172447,3.191891195797325e-17,-0.008620689655172382,-0.008620689655172384,-0.008620689655172382,-0.008620689655172382,-0.008620689655172382,-0.008620689655172384,-0.008620689655172382,-0.008620689655172382,3.191891195797325e-17,3.191891195797325e-17,0.008620689655172447,0.008620689655172447,0.008620689655172445,3.2265856653168614e-17,0.008620689655172448,0.008620689655172447,0.017241379310344862,0.017241379310344862,0.025862068965517276,0.025862068965517276,0.01724137931034486,0.017241379310344862,0.025862068965517276,0.017241379310344862,0.017241379310344862,0.017241379310344862,0.017241379310344862,0.017241379310344862,0.017241379310344862
well10,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
well11,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well12,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333332,0.013333333333333332
well13,,,,,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well14,,,,,0.014492753623188354,0.014492753623188354,0.014492753623188354,0.014492753623188354,0.014492753623188354,0.014492753623188354,0.014492753623188354,-0.01449275362318846,-0.01449275362318846,-0.01449275362318846,-0.01449275362318846,-0.01449275362318846,0.014492753623188354,0.014492753623188354,0.014492753623188354,0.014492753623188354,0.014492753623188354,0.014492753623188354,0.014492753623188354,0.014492753623188354,0.014492753623188354,0.014492753623188354,0.014492753623188354,0.014492753623188354,0.014492753623188354,0.014492753623188354,0.014492753623188354,0.014492753623188354,0.014492753623188354,0.014492753623188354,0.014492753623188354,0.014492753623188354,0.014492753623188354,0.014492753623188354,0.014492753623188354,0.014492753623188354
well15,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well16,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
