,CT_Value
well_1,N/A
well_2,N/A
well_3,N/A
well_4,N/A
well_5,N/A
well_6,N/A
well_7,N/A
well_8,N/A
well_9,N/A
well_10,N/A
well_11,N/A
well_12,31.21
well_13,37.6
well_14,N/A
well_15,N/A
well_16,N/A
