,CT_Value
well_1,22.93
well_2,22.6
well_3,21.25
well_4,25.1
well_5,24.36
well_6,24.07
well_7,27.94
well_8,27.76
well_9,28.81
well_10,N/A
well_11,N/A
well_12,N/A
well_13,25.12
well_14,N/A
well_15,N/A
well_16,N/A
