,index,well1,well2,well3,well4,well5,well6,well7,well8,well9,well10,well11,well12,well13,well14,well15,well16
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.003412969283276426,-0.006535947712418347,0.0,-0.01260504201680675,-0.0060851926977687045,0.0,0.043478260869565216,-0.004184100418409983,0.004291845493562201,0.0,0.0,0.0,0.011764705882352941,0.014492753623188354,0.0,0.0
5,5,0.010238907849829327,-0.006535947712418347,0.0,-0.004201680672268937,0.0020283975659229794,0.0,0.043478260869565216,0.004184100418410101,0.012875536480686664,0.0,0.0,0.0,0.011764705882352941,0.014492753623188354,0.0,0.0
6,6,0.010238907849829327,0.006535947712418252,0.0,0.004201680672268877,0.010141987829614663,0.0,0.02608695652173913,0.004184100418410101,0.012875536480686664,0.0,0.0,0.0,0.011764705882352941,0.014492753623188354,0.0,0.0
7,7,0.010238907849829327,0.006535947712418252,0.0,0.004201680672268878,0.010141987829614663,0.0,0.008695652173913044,0.004184100418410101,0.012875536480686664,0.0,0.0,0.0,0.011764705882352941,0.014492753623188354,0.0,0.0
8,8,0.010238907849829327,0.006535947712418252,0.0,-2.983724378680108e-17,0.006085192697768821,0.0,0.008695652173913044,0.004184100418410101,0.012875536480686664,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
9,9,0.003412969283276426,0.006535947712418252,0.0,-0.008403361344537844,-0.0020283975659228636,0.0,0.008695652173913044,0.004184100418410101,0.004291845493562202,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
10,10,-0.003412969283276475,0.006535947712418252,0.0,-0.004201680672268937,-0.0020283975659228636,0.0,-0.008695652173913044,-0.004184100418409983,-0.004291845493562262,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
11,11,-0.010238907849829375,-0.0065359477124183486,0.0,-0.008403361344537844,-0.006085192697768705,0.0,0.008695652173913044,-0.004184100418409983,-0.012875536480686725,0.0,0.0,0.0,0.0,-0.01449275362318846,0.0,0.0
12,12,-0.010238907849829375,-0.0065359477124183486,0.0,-0.004201680672268937,-0.006085192697768705,0.0,0.008695652173913044,-0.004184100418409983,-0.012875536480686725,0.0,0.0,0.0,0.0,-0.01449275362318846,0.0,0.0
13,13,-0.010238907849829375,-0.0065359477124183486,0.0,-2.949029909160572e-17,-0.006085192697768705,0.0,-0.008695652173913044,-0.004184100418409983,-0.012875536480686725,0.0,0.0,0.0,0.0,-0.01449275362318846,0.0,0.0
14,14,-0.010238907849829375,-0.01960784313725495,0.0,0.004201680672268878,-0.010141987829614549,0.0,-0.008695652173913044,-0.004184100418409983,-0.012875536480686725,0.0,0.0,0.0,0.0,-0.01449275362318846,0.0,0.0
15,15,-0.010238907849829375,-0.01960784313725495,0.0,0.004201680672268878,-0.010141987829614547,0.0,0.008695652173913044,-0.004184100418409983,-0.012875536480686725,0.0,0.0,0.0,0.0,-0.01449275362318846,0.0,0.0
16,16,-0.010238907849829375,-0.01960784313725495,0.0,0.008403361344537785,-0.010141987829614549,0.0,0.008695652173913044,-0.01255230125523007,-0.012875536480686725,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
17,17,-0.010238907849829375,-0.01960784313725495,0.0,0.012605042016806692,-0.010141987829614549,0.0,0.02608695652173913,-0.01255230125523007,-0.012875536480686725,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
18,18,-0.010238907849829375,-0.01960784313725495,0.0,0.0168067226890756,-0.01419878296146039,0.0,0.02608695652173913,-0.01255230125523007,-0.012875536480686725,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
19,19,-0.003412969283276475,-0.006535947712418347,0.0,0.02521008403361341,-0.010141987829614549,0.0,0.02608695652173913,-0.01255230125523007,-0.004291845493562263,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
20,20,-0.003412969283276475,-0.006535947712418347,0.0,0.03781512605042013,-0.01419878296146039,0.0,0.008695652173913044,-0.004184100418409983,-0.004291845493562262,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
21,21,-0.003412969283276475,-0.006535947712418347,0.0,0.05042016806722686,-0.01419878296146039,0.0,0.008695652173913044,0.004184100418410101,0.0042918454935622005,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
22,22,-0.003412969283276475,0.006535947712418252,0.0,0.06722689075630249,-0.01419878296146039,0.0,0.008695652173913044,0.004184100418410101,0.0042918454935622005,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
23,23,-0.003412969283276475,0.019607843137254853,0.0,0.09243697478991593,-0.010141987829614549,0.0,0.02608695652173913,0.004184100418410101,0.004291845493562201,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
24,24,-0.010238907849829375,0.006535947712418252,0.0,0.12184873949579829,-0.010141987829614549,0.0,0.008695652173913044,0.004184100418410101,-0.004291845493562263,0.0,0.0,0.0,0.0,0.014492753623188354,0.0,0.0
