,CT_Value
A1,N/A
A2,N/A
A3,N/A
A4,11.83
A5,N/A
A6,N/A
A7,N/A
A8,N/A
B1,N/A
B2,N/A
B3,N/A
B4,N/A
B5,N/A
B6,N/A
B7,N/A
B8,N/A
