time,well_1,well_2,well_3,well_4,well_5,well_6,well_7,well_8,well_9,well_10,well_11,well_12,well_13,well_14,well_15,well_16
12:02:48,21,13,44,43,47,3,6,14,15,12,7,14,22,8,7,13
12:03:16,23,13,48,47,52,2,6,15,15,12,7,14,22,8,7,13
12:03:47,23,13,51,50,54,2,6,15,15,12,7,15,22,8,7,13
12:04:17,22,13,52,51,56,2,6,15,15,12,7,15,22,7,7,13
12:04:47,22,13,51,51,55,2,6,15,15,11,7,15,22,8,7,13
12:05:18,22,13,50,49,54,2,6,15,15,12,7,15,22,8,7,13
12:05:46,23,13,52,50,55,2,6,15,16,12,7,15,22,8,7,13
12:06:17,22,13,50,49,54,2,6,15,15,11,7,14,22,7,7,13
12:06:47,23,13,51,50,54,2,6,15,15,12,7,15,22,8,7,13
12:07:18,22,13,50,49,53,2,6,15,15,11,7,14,23,8,6,13
12:07:46,23,13,51,50,55,2,6,15,15,12,7,15,22,8,7,13
12:08:17,22,13,50,49,54,2,6,15,15,11,7,15,22,8,6,13
12:08:47,23,13,50,50,53,2,6,14,15,11,7,15,22,8,6,13
12:09:18,22,14,50,49,53,2,6,15,15,12,7,15,22,8,7,13
12:09:46,23,13,51,50,54,2,6,15,15,12,7,15,22,8,7,13
12:10:17,23,13,50,49,53,2,6,15,15,12,7,15,22,8,7,13
12:10:47,22,13,50,48,54,2,6,15,15,12,7,15,22,7,7,13
12:11:18,22,13,50,49,53,2,6,15,15,12,7,15,22,8,7,13
12:11:46,23,13,51,48,53,2,6,15,15,12,7,14,22,8,7,13
12:12:17,22,13,51,49,53,2,6,15,15,12,7,15,22,8,7,13
12:12:47,22,13,51,48,54,2,6,14,15,11,7,15,22,8,7,13
12:13:17,23,13,52,49,53,2,6,15,15,12,7,14,22,8,7,13
12:13:48,22,13,54,49,53,2,6,15,15,12,7,15,22,8,7,13
12:14:16,22,13,56,49,53,2,6,15,15,12,7,15,22,8,7,13
12:14:47,23,13,59,49,53,2,6,14,15,12,7,15,22,8,7,13
12:15:17,24,13,64,49,53,2,6,15,15,12,7,15,22,8,7,13
12:15:48,23,13,69,49,53,2,6,15,15,12,7,15,22,8,7,13
12:16:16,24,13,76,49,53,2,6,16,15,12,7,15,22,7,7,13
12:16:47,23,13,84,48,53,2,6,15,15,12,7,15,22,8,7,13
12:17:17,22,13,95,49,53,2,6,15,15,11,7,15,22,8,7,13
12:17:48,23,14,107,49,53,2,6,15,16,12,7,15,22,8,7,13
12:18:16,23,14,118,49,53,2,6,15,15,12,7,15,23,8,7,13
12:18:47,24,14,128,49,53,2,6,15,15,12,7,15,22,8,7,13
12:19:17,24,14,138,49,53,2,6,15,16,12,7,15,22,8,7,13
12:19:48,22,13,144,48,53,2,6,15,15,12,7,15,22,8,7,13
12:20:16,23,14,151,49,53,2,6,15,15,12,7,15,22,8,7,13
12:20:47,22,13,156,49,53,2,6,15,15,12,7,15,22,8,7,13
12:21:17,23,14,161,49,53,2,6,14,15,12,8,15,22,8,7,13
12:21:48,23,13,166,49,53,2,6,15,15,12,7,15,22,8,7,13
12:22:16,23,14,169,49,53,2,6,15,15,12,7,15,22,8,7,13
12:22:46,23,13,171,48,53,2,6,15,15,12,7,15,22,7,7,13
12:23:17,23,14,175,49,54,2,6,15,15,12,7,15,22,8,7,13
12:23:47,22,14,175,49,52,2,6,15,15,12,7,15,22,8,7,13
12:24:18,23,14,177,49,53,2,6,15,15,12,7,15,22,8,7,13
12:24:46,23,14,179,49,52,2,5,15,15,12,7,15,22,8,7,13
12:25:17,23,14,181,49,53,2,6,15,14,12,7,15,22,8,7,13
12:25:47,24,15,183,50,52,2,6,15,15,13,7,15,22,8,7,13
12:26:18,22,14,184,49,52,2,6,15,15,12,7,15,22,8,7,12
12:26:46,23,14,185,50,52,2,6,15,15,12,7,15,22,8,7,13
12:27:17,22,13,185,50,52,2,6,15,15,12,8,15,22,8,7,13
12:27:47,23,14,187,50,52,2,5,15,15,12,7,15,22,8,7,13
12:28:18,23,14,188,51,53,2,6,15,15,12,7,15,22,8,7,13
12:28:46,24,14,191,52,53,2,6,15,15,12,8,16,22,8,7,13
12:29:17,23,13,190,53,53,2,6,15,15,11,7,15,23,8,7,13
12:29:47,23,13,191,55,52,2,6,15,15,12,7,15,22,8,7,13
12:30:18,23,14,192,58,52,2,6,14,15,12,8,15,22,8,7,12
12:30:46,23,14,193,61,53,2,6,15,15,12,8,15,22,8,7,13
12:31:17,22,14,193,65,53,2,6,15,16,12,8,15,22,8,7,12
12:31:47,23,14,193,70,53,2,6,15,16,12,8,15,22,8,7,13
12:32:17,22,14,194,76,52,2,6,14,15,12,8,15,22,7,7,12
12:32:48,23,14,195,84,53,2,6,15,15,12,7,15,22,8,7,12
12:33:16,23,14,195,92,52,2,6,15,15,12,7,16,22,8,7,13
12:33:47,24,14,198,101,53,2,6,15,16,12,8,15,22,8,7,13
12:34:17,23,14,197,108,53,2,6,14,15,12,8,15,22,8,7,13
12:34:48,24,14,198,117,53,2,6,15,16,12,8,16,22,8,7,13
12:35:16,22,14,198,123,53,2,6,15,15,12,8,16,22,8,7,12
12:35:47,23,14,199,130,53,2,6,15,15,12,8,16,22,8,7,13
12:36:17,23,14,198,137,53,2,6,14,15,12,8,16,22,8,7,12
12:36:48,23,14,199,144,53,2,6,15,15,12,8,16,23,8,7,13
12:37:16,24,14,200,151,53,2,6,15,16,12,8,16,22,8,7,13
12:37:47,23,14,200,157,53,2,6,15,15,12,8,16,22,8,7,13
12:38:17,24,14,201,161,52,2,6,15,16,12,8,16,23,8,7,13
12:38:48,24,14,201,165,53,2,6,15,15,13,8,16,22,8,7,12
12:39:16,24,14,202,169,53,2,6,15,16,12,8,16,22,8,7,12
12:39:47,22,14,201,171,53,2,6,14,15,12,8,16,22,8,7,12
12:40:17,23,14,201,174,53,2,6,15,15,12,8,16,22,8,7,12
12:40:47,22,14,201,177,53,2,6,14,15,12,8,16,23,8,7,13
12:41:18,23,14,201,177,52,2,6,15,15,12,8,16,22,8,7,12
12:41:47,23,15,203,181,53,2,6,15,15,12,8,16,23,8,7,13
12:42:17,23,14,203,182,52,2,6,14,15,12,8,15,22,8,7,12
12:42:47,23,14,203,183,52,2,6,14,16,12,8,16,22,7,7,12
12:43:16,23,14,204,185,52,2,6,14,15,12,8,16,23,8,7,12
12:43:46,23,14,204,186,52,2,6,15,15,12,8,16,22,8,7,12
12:44:17,22,14,203,187,53,2,6,14,15,12,7,16,22,8,7,12
12:44:47,23,14,205,189,53,2,6,15,16,12,7,16,22,8,7,12
12:45:18,23,14,204,189,52,2,6,15,16,12,8,16,22,8,7,12
12:45:46,23,14,203,188,52,2,6,14,14,12,8,16,22,8,7,12
12:46:17,23,14,205,189,53,2,6,14,16,13,8,16,23,8,7,12
12:46:47,23,14,204,189,52,2,6,14,15,12,8,16,22,7,7,12
12:47:18,23,14,204,190,52,2,6,14,15,12,8,16,23,8,7,12
