,index,well1,well2,well3,well4,well5,well6,well7,well8,well9,well10,well11,well12,well13,well14,well15,well16
62,63,0.741220423,0.855505762,0.789846517,0.569943182,0.463360882,0.565348288,0.01012987,0.11862069,0.012244898,0.007106274,0.008002561,0.002374059,0.036601307,0.002505828,-0.005088195,0.001948052
63,64,0.756288917,0.868181818,0.801534829,0.612443182,0.515482094,0.610802834,0.012987013,0.171034483,0.012244898,0.007106274,0.008002561,0.002374059,0.061437908,0.003787879,-0.005088195,0.001948052
64,65,0.774097136,0.883674776,0.819716647,0.648693182,0.559118457,0.648465171,0.017272727,0.235862069,0.014965986,0.007106274,0.008002561,0.002374059,0.094117647,0.003787879,-0.005088195,0.000649351
65,66,0.789165629,0.896350832,0.830106257,0.677443182,0.594269972,0.678335301,0.025844156,0.308965517,0.020408163,0.008514725,0.009411012,0.003647944,0.141176471,0.003787879,-0.003595658,0.000649351
66,67,0.800124533,0.907618438,0.840495868,0.701193182,0.62214876,0.703010626,0.037272727,0.387586207,0.02585034,0.008514725,0.009411012,0.00492183,0.2,0.003787879,-0.002103121,0.000649351
67,68,0.808343711,0.914660691,0.844391972,0.717443182,0.642754821,0.719893743,0.057272727,0.464827586,0.034013605,0.009923175,0.012227913,0.008743486,0.275816993,0.007634033,0.000881954,0.001948052
68,69,0.819302615,0.923111396,0.853482881,0.732443182,0.659724518,0.734179457,0.082987013,0.533793103,0.047619048,0.012740077,0.013636364,0.008743486,0.351633987,0.008916084,0.002374491,0.001948052
69,70,0.82615193,0.925928297,0.853482881,0.742443182,0.673057851,0.744569067,0.121558442,0.593103448,0.068027211,0.016965429,0.016453265,0.012565142,0.433986928,0.014044289,0.005359566,0.004545455
70,71,0.830261519,0.927336748,0.853482881,0.749943182,0.682754821,0.752361275,0.171558442,0.64137931,0.095238095,0.01978233,0.019270166,0.016386798,0.511111111,0.017890443,0.006852103,0.007142857
71,72,0.83985056,0.934379001,0.859976387,0.759943182,0.696088154,0.765348288,0.231558442,0.682758621,0.131972789,0.021190781,0.019270166,0.017660683,0.575163399,0.019172494,0.006852103,0.007142857
72,73,0.853549191,0.945646607,0.8729634,0.773693182,0.710633609,0.779634002,0.30012987,0.715862069,0.182312925,0.022599232,0.017861716,0.015112913,0.624836601,0.017890443,0.005359566,0.007142857
73,74,0.856288917,0.947055058,0.870365998,0.778693182,0.717906336,0.786127509,0.378701299,0.740689655,0.243537415,0.025416133,0.020678617,0.020208454,0.671895425,0.021736597,0.00834464,0.008441558
74,75,0.865877958,0.956914213,0.883353011,0.792443182,0.731239669,0.801711924,0.452987013,0.765517241,0.314285714,0.025416133,0.017861716,0.018934569,0.705882353,0.019172494,0.00834464,0.005844156
75,76,0.878206725,0.966773367,0.896340024,0.804943182,0.743360882,0.815997639,0.524415584,0.788965517,0.393197279,0.026824584,0.017861716,0.017660683,0.732026144,0.017890443,0.00834464,0.004545455
76,77,0.878206725,0.963956466,0.889846517,0.807443182,0.745785124,0.81729634,0.59012987,0.804137931,0.472108844,0.031049936,0.022087068,0.021482339,0.758169935,0.023018648,0.011329715,0.007142857
77,78,0.879576588,0.963956466,0.888547816,0.809943182,0.746997245,0.819893743,0.642987013,0.817931034,0.544217687,0.031049936,0.022087068,0.022756225,0.775163399,0.023018648,0.011329715,0.007142857
78,79,0.891905355,0.973815621,0.901534829,0.821193182,0.756694215,0.831582054,0.688701299,0.837241379,0.613605442,0.031049936,0.019270166,0.020208454,0.789542484,0.020454545,0.009837178,0.007142857
79,80,0.889165629,0.969590269,0.893742621,0.819943182,0.756694215,0.828984652,0.724415584,0.846896552,0.663945578,0.032458387,0.022087068,0.02403011,0.803921569,0.023018648,0.011329715,0.008441558
80,81,0.886425903,0.966773367,0.885950413,0.819943182,0.756694215,0.82768595,0.752987013,0.855172414,0.703401361,0.033866837,0.023495519,0.026577881,0.816993464,0.026864802,0.01431479,0.00974026
81,82,0.889165629,0.969590269,0.888547816,0.823693182,0.7615427,0.831582054,0.777272727,0.864827586,0.737414966,0.033866837,0.023495519,0.027851766,0.82875817,0.026864802,0.01431479,0.008441558
82,83,0.889165629,0.969590269,0.885950413,0.826193182,0.765179063,0.834179457,0.80012987,0.873103448,0.765986395,0.036683739,0.02631242,0.031673422,0.843137255,0.030710956,0.018792402,0.00974026
83,84,0.88505604,0.965364917,0.878158205,0.824943182,0.765179063,0.832880756,0.814415584,0.877241379,0.785034014,0.03950064,0.029129321,0.035495078,0.853594771,0.035839161,0.021777476,0.011038961
84,85,0.891905355,0.97099872,0.882054309,0.828693182,0.768815427,0.83677686,0.831558442,0.885517241,0.808163265,0.040909091,0.030537772,0.035495078,0.861437908,0.038403263,0.023270014,0.012337662
85,86,0.896014944,0.973815621,0.885950413,0.831193182,0.772451791,0.839374262,0.845844156,0.892413793,0.82585034,0.042317542,0.030537772,0.036768964,0.869281046,0.038403263,0.023270014,0.012337662
86,87,0.901494396,0.978040973,0.888547816,0.833693182,0.774876033,0.841971665,0.855844156,0.899310345,0.843537415,0.043725992,0.030537772,0.035495078,0.874509804,0.037121212,0.023270014,0.013636364
87,88,0.904234122,0.979449424,0.889846517,0.836193182,0.778512397,0.844569067,0.865844156,0.904827586,0.857142857,0.045134443,0.030537772,0.035495078,0.881045752,0.038403263,0.023270014,0.014935065
88,89,0.905603985,0.979449424,0.891145218,0.837443182,0.780936639,0.845867769,0.875844156,0.908965517,0.869387755,0.045134443,0.031946223,0.035495078,0.88627451,0.037121212,0.023270014,0.013636364
89,90,0.9124533,0.986491677,0.901534829,0.846193182,0.788209366,0.854958678,0.888701299,0.92,0.884353741,0.045134443,0.029129321,0.031673422,0.892810458,0.031993007,0.020284939,0.011038961
