,CT_Value
well_1,23.58
well_2,22.24
well_3,22.84
well_4,26.44
well_5,27.02
well_6,26.54
well_7,33.4
well_8,29.55
well_9,34.45
well_10,N/A
well_11,N/A
well_12,N/A
well_13,30.91
well_14,N/A
well_15,N/A
well_16,N/A
