,CT_Value
well_1,23.77
well_2,22.65
well_3,22.41
well_4,24.79
well_5,24.91
well_6,25.98
well_7,27.9
well_8,30.21
well_9,32.95
well_10,N/A
well_11,N/A
well_12,N/A
well_13,28.36
well_14,N/A
well_15,N/A
well_16,N/A
