,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
well1,,,,,-0.006331168831168808,-0.0027597402597402364,-0.003950216450216427,-0.007521645021644999,-0.00990259740259738,-0.009902597402597378,-0.007521645021644999,-0.007521645021644999,-0.007521645021644999,-0.006331168831168808,-0.006331168831168808,-0.008712121212121188,-0.007521645021644999,-0.003950216450216427,-0.002759740259740237,-0.00037878787878785553,0.004383116883116907,0.006764069264069287,0.007954545454545478,0.007954545454545476,0.011525974025974049,0.01152597402597405,0.009145021645021668,0.004383116883116907,0.0031926406926407165,-0.001569264069264046,-0.001569264069264046,-0.001569264069264046,0.0008116883116883348,0.0008116883116883348,-0.00037878787878785553,-0.003950216450216428,-0.001569264069264046,-0.0027597402597402364,-0.001569264069264046,-0.00037878787878785553,0.0031926406926407165,0.0031926406926407157,0.007954545454545478,0.01509740259740262,0.024621212121212148,0.03890692640692643,0.05914502164502167,0.0912878787878788,0.1317640692640693,0.18533549783549785,0.24366883116883117,0.31152597402597404,0.3770021645021645,0.4389069264069264,0.4948593073593074,0.5436688311688312,0.5841450216450217,0.6174783549783551,0.6412878787878789,0.6579545454545455,0.6734307359307359,0.6829545454545455,0.6936688311688312,0.7067640692640692,0.7210497835497836,0.7329545454545455,0.7496212121212121,0.7579545454545454,0.7627164502164502,0.767478354978355,0.7686688311688311,0.7662878787878787,0.7662878787878787,0.7698593073593074,0.7698593073593073,0.7734307359307359,0.7793831168831169,0.7841450216450216,0.786525974025974,0.7912878787878788,0.7960497835497835,0.7960497835497835,0.7972402597402597,0.7984307359307359,0.8008116883116883,0.8043831168831168,0.805573593073593,0.8115259740259739,0.8139069264069263,0.8162878787878787
well2,,,,,-0.0065326633165829154,-0.0035175879396984926,-0.0025125628140703514,-0.001507537688442211,-0.0005025125628140704,0.0005025125628140702,0.0005025125628140702,-0.0005025125628140704,-0.0015075376884422114,-0.0035175879396984926,-0.002512562814070352,-0.0025125628140703522,-0.0005025125628140705,0.0015075376884422108,0.0035175879396984926,0.005527638190954773,0.006532663316582914,0.006532663316582914,0.004522613065326633,0.0025125628140703514,0.0005025125628140704,0.0005025125628140704,-0.001507537688442211,-0.0025125628140703514,-0.0035175879396984926,-0.004522613065326633,-0.004522613065326633,-0.004522613065326633,-0.0025125628140703514,0.0005025125628140704,-0.0005025125628140701,-0.001507537688442211,0.0005025125628140704,-0.0005025125628140703,-0.0005025125628140701,0.0005025125628140704,0.0025125628140703514,0.0035175879396984926,0.0065326633165829154,0.010552763819095479,0.0185929648241206,0.03065326633165829,0.04874371859296482,0.07688442211055277,0.1120603015075377,0.157286432160804,0.20854271356783918,0.2668341708542713,0.3241206030150754,0.378391959798995,0.4266331658291458,0.46884422110552765,0.5030150753768844,0.5311557788944724,0.5542713567839196,0.5693467336683418,0.5834170854271357,0.5914572864321608,0.6015075376884422,0.6105527638190955,0.6226130653266331,0.6326633165829145,0.6457286432160804,0.6527638190954774,0.6577889447236182,0.6618090452261307,0.6618090452261306,0.6608040201005025,0.6608040201005025,0.6648241206030152,0.6668341708542714,0.6708542713567839,0.6758793969849246,0.678894472361809,0.6788944723618091,0.6809045226130654,0.6839195979899498,0.6839195979899497,0.6859296482412061,0.6879396984924624,0.6899497487437186,0.6919597989949748,0.692964824120603,0.6959798994974874,0.6959798994974875,0.6989949748743719
well3,,,,,-0.00319780721790774,-0.00018273184102331788,0.0008222932846048229,-0.00018273184102331788,0.0008222932846048229,0.0018273184102329636,0.0018273184102329636,0.0018273184102329636,0.0028323435358611044,0.0018273184102329636,-0.00018273184102331788,-0.00018273184102331788,-0.00018273184102331788,-0.0011877569666514586,-0.0011877569666514586,-0.00018273184102331788,-0.00018273184102331788,-0.00018273184102331788,0.0008222932846048229,-0.00018273184102331788,-0.00018273184102331788,0.0008222932846048229,0.0008222932846048229,-0.00018273184102331788,-0.0011877569666514586,-0.0021927820922795992,-0.00319780721790774,-0.00319780721790774,-0.00319780721790774,-0.00018273184102331804,-0.00018273184102331804,-0.00018273184102331804,-0.0011877569666514588,-0.0011877569666514588,-0.00018273184102331788,0.0008222932846048227,0.005847418912745527,0.009867519415258088,0.016902695294655073,0.0249428962996802,0.041023298309730456,0.06514390132480583,0.10232983097304704,0.15258108725445407,0.2128825947921425,0.2792142530835998,0.3405207857469164,0.3998172681589767,0.4480584741891274,0.4892645043398812,0.5224303334856099,0.5525810872544541,0.5767016902695294,0.5978072179077204,0.6128825947921425,0.6209227957971677,0.6279579716765646,0.629968021927821,0.6370031978072179,0.645043398812243,0.6571037003197807,0.6681589767016902,0.6812243033348562,0.6882594792142531,0.6882594792142531,0.687254454088625,0.6842393787117406,0.680219278209228,0.6761991777067153,0.6792142530835998,0.680219278209228,0.6822293284604843,0.6882594792142531,0.6892645043398813,0.6892645043398813,0.6912745545911376,0.6932846048423938,0.6912745545911376,0.6942896299680219,0.6952946550936501,0.6973047053449063,0.6983097304705345,0.6983097304705345,0.7003197807217908,0.7003197807217908,0.701324805847419
well4,,,,,-0.002115211521152147,-0.0001350135013501669,-0.0001350135013501669,-0.001125112511251157,-0.00013501350135016707,0.001845184518451813,0.002835283528352804,0.0038253825382537935,0.005805580558055774,0.0038253825382537935,0.0018451845184518135,0.0008550855085508234,-0.00013501350135016675,-0.0011251125112511568,-0.00013501350135016675,0.0008550855085508234,0.0028352835283528034,0.0028352835283528034,0.001845184518451813,-0.00013501350135016675,-0.0011251125112511568,-0.003105310531053137,-0.003105310531053137,-0.004095409540954127,-0.004095409540954127,-0.005085508550855117,-0.0050855085508551175,-0.004095409540954127,-0.004095409540954127,-0.002115211521152147,-0.003105310531053137,-0.004095409540954127,-0.006075607560756108,-0.007065706570657098,-0.0070657065706570986,-0.0070657065706570986,-0.004095409540954127,-0.004095409540954127,-0.0031053105310531377,-0.004095409540954128,-0.004095409540954127,-0.0050855085508551175,-0.004095409540954127,-0.0011251125112511566,0.0028352835283528034,0.011746174617461715,0.024617461746174584,0.04243924392439241,0.07115211521152112,0.10877587758775875,0.15531053105310527,0.21075607560756074,0.27313231323132314,0.3325382538253825,0.387983798379838,0.43451845184518445,0.4741224122412241,0.5028352835283527,0.5265976597659765,0.5473897389738973,0.5671917191719171,0.581053105310531,0.5959045904590459,0.6067956795679568,0.6127362736273627,0.6176867686768677,0.6216471647164716,0.6246174617461746,0.6275877587758776,0.6325382538253825,0.6364986498649865,0.6404590459045905,0.6444194419441944,0.6483798379837983,0.6503600360036003,0.6543204320432043,0.6572907290729072,0.6602610261026102,0.6622412241224122,0.6652115211521151,0.6671917191719172,0.6662016201620161,0.6671917191719171,0.6681818181818182,0.6662016201620161,0.6671917191719171
well5,,,,,-0.004568527918781725,-0.0005076142131979695,0.0005076142131979695,0.0015228426395939086,0.0025380710659898475,0.004568527918781725,0.003553299492385787,0.0035532994923857864,0.005583756345177665,0.0035532994923857864,0.0015228426395939086,0.0015228426395939086,0.0005076142131979697,-0.0025380710659898475,-0.0005076142131979691,-0.0005076142131979694,-0.0005076142131979694,-0.0015228426395939086,-0.0005076142131979695,-0.0025380710659898475,-0.0025380710659898475,-0.0025380710659898475,-0.0015228426395939086,-0.0025380710659898475,-0.0015228426395939084,-0.0015228426395939086,-0.0015228426395939086,0.0005076142131979697,0.0005076142131979697,0.0015228426395939088,0.0015228426395939088,0.0005076142131979697,-0.0025380710659898475,-0.0035532994923857864,-0.003553299492385787,-0.003553299492385787,-0.0005076142131979695,-0.0005076142131979695,0.0005076142131979697,0.0005076142131979697,0.0025380710659898475,0.0025380710659898475,0.006598984771573604,0.012690355329949238,0.02182741116751269,0.03807106598984772,0.06649746192893402,0.10406091370558376,0.15583756345177666,0.21472081218274114,0.27766497461928935,0.3385786802030457,0.3974619289340101,0.44517766497461925,0.48477157360406087,0.5121827411167513,0.5365482233502539,0.5517766497461929,0.5659898477157361,0.5791878172588832,0.5944162436548223,0.6045685279187818,0.6177664974619288,0.6269035532994923,0.6309644670050761,0.6350253807106598,0.6380710659898476,0.6390862944162435,0.6401015228426395,0.6451776649746193,0.6492385786802031,0.6522842639593909,0.6553299492385787,0.6583756345177665,0.6593908629441625,0.6614213197969543,0.6634517766497462,0.666497461928934,0.6685279187817258,0.6705583756345177,0.6715736040609137,0.6705583756345177,0.6705583756345177,0.6705583756345177,0.6685279187817258,0.6705583756345177
well6,,,,,-0.008092485549132947,-0.005780346820809248,-0.0034682080924855487,-0.0011560693641618498,0.0011560693641618496,0.004624277456647398,0.004624277456647398,0.004624277456647398,0.004624277456647398,0.0011560693641618496,-0.0011560693641618496,0.0,-0.0011560693641618496,-0.002312138728323699,0.0,0.0,-0.0011560693641618496,-0.0011560693641618496,-0.002312138728323699,-0.0034682080924855487,-0.0034682080924855487,-0.002312138728323699,-0.0011560693641618496,0.0011560693641618496,0.0011560693641618496,0.0,0.0,0.002312138728323699,0.002312138728323699,0.004624277456647398,0.005780346820809248,0.004624277456647398,0.002312138728323699,-1.7347234759768072e-19,-3.4694469519536144e-19,0.0,0.0034682080924855487,0.0023121387283236996,0.0034682080924855496,0.0011560693641618496,0.002312138728323699,0.0011560693641618496,0.005780346820809248,0.011560693641618497,0.021965317919075144,0.03699421965317919,0.06242774566473989,0.09595375722543353,0.1445086705202312,0.2011560693641618,0.26705202312138726,0.3364161849710982,0.40693641618497106,0.46705202312138727,0.5202312138728324,0.5595375722543352,0.5930635838150289,0.6150289017341041,0.6358381502890174,0.653179190751445,0.6728323699421966,0.6855491329479769,0.700578034682081,0.7121387283236994,0.7190751445086706,0.7236994219653179,0.7271676300578035,0.7294797687861271,0.7317919075144509,0.7375722543352601,0.7421965317919075,0.7479768786127167,0.7526011560693642,0.7560693641618497,0.7572254335260116,0.7606936416184971,0.7630057803468208,0.7664739884393064,0.76878612716763,0.7722543352601156,0.7745664739884394,0.7734104046242775,0.7745664739884394,0.7757225433526012,0.7734104046242775,0.7745664739884393
well7,,,,,-0.005528973950026589,-0.0020202020202020276,-0.0020202020202020276,-0.0031897926634768814,-0.0031897926634768814,-0.0020202020202020276,-0.0020202020202020276,-0.000850611376927174,0.0003189792663476798,-0.000850611376927174,-0.0020202020202020276,-0.0031897926634768814,-0.0031897926634768814,-0.004359383306751735,-0.0031897926634768814,-0.0031897926634768814,-0.0020202020202020276,-0.000850611376927174,-0.000850611376927174,-0.0020202020202020276,0.0003189792663476798,0.003827751196172241,0.004997341839447095,0.006166932482721948,0.006166932482721948,0.003827751196172241,0.0003189792663476798,-0.000850611376927174,-0.000850611376927174,0.003827751196172241,0.006166932482721948,0.007336523125996803,0.008506113769271656,0.008506113769271656,0.007336523125996803,0.004997341839447095,0.007336523125996803,0.004997341839447095,0.003827751196172241,0.0014885699096225335,0.0003189792663476798,-0.0020202020202020276,-0.000850611376927174,0.0014885699096225335,0.003827751196172241,0.007336523125996803,0.008506113769271656,0.008506113769271656,0.010845295055821363,0.010845295055821363,0.014354066985645925,0.02137161084529505,0.03423710792131844,0.05178096757044124,0.07985114300903773,0.11844763423710791,0.17107921318447633,0.23189792663476871,0.2985645933014354,0.36757044125465177,0.4342371079213184,0.4927166400850611,0.5441786283891548,0.5862838915470494,0.6190324295587454,0.6447634237107922,0.6634768740031898,0.6775119617224881,0.6892078681552366,0.7032429558745348,0.7137692716640085,0.7231259968102073,0.733652312599681,0.7430090377458798,0.7476874003189792,0.7547049441786282,0.7617224880382774,0.7664008506113769,0.7710792131844763,0.7769271664008505,0.7804359383306751,0.7827751196172248,0.7862838915470494,0.7897926634768739,0.7909622541201488,0.7944710260499732
well8,,,,,0.008588957055214725,0.008588957055214725,0.006134969325153375,0.001226993865030675,0.0,-0.001226993865030675,0.0,0.0,0.0,-0.001226993865030675,-0.00245398773006135,-0.0049079754601227,-0.006134969325153374,-0.0049079754601227,-0.003680981595092025,-0.001226993865030675,0.00245398773006135,0.003680981595092025,0.0049079754601227,0.0024539877300613494,0.00245398773006135,0.001226993865030675,0.00245398773006135,0.001226993865030675,0.00245398773006135,0.0,0.0,-0.00245398773006135,-0.003680981595092025,-0.00245398773006135,-0.00245398773006135,-0.003680981595092025,-0.0024539877300613503,-0.00245398773006135,-0.0024539877300613503,-0.00245398773006135,0.0,0.0,0.001226993865030675,0.0,0.0,-0.001226993865030675,-0.00245398773006135,-0.001226993865030675,0.0,0.001226993865030675,0.003680981595092025,0.007361963190184048,0.011042944785276074,0.0147239263803681,0.020858895705521473,0.03067484662576687,0.04785276073619632,0.07116564417177913,0.10552147239263805,0.15214723926380366,0.21349693251533744,0.2785276073619632,0.3496932515337423,0.42085889570552143,0.48711656441717793,0.5398773006134969,0.5889570552147239,0.6257668711656442,0.6552147239263804,0.6797546012269938,0.698159509202454,0.7116564417177914,0.7251533742331289,0.7386503067484662,0.7484662576687117,0.7582822085889571,0.7693251533742331,0.7779141104294478,0.7828220858895705,0.7901840490797546,0.7975460122699387,0.8012269938650306,0.8061349693251534,0.8122699386503067,0.8171779141104295,0.8220858895705522,0.8257668711656441,0.8319018404907975,0.8343558282208589,0.8368098159509202
well9,,,,,-0.011389172625127716,-0.008018386108273785,-0.006894790602655808,-0.00914198161389176,-0.00914198161389176,-0.008018386108273785,-0.004647599591419853,-0.004647599591419853,-0.0035240040858018754,-0.0035240040858018746,-0.0035240040858018754,-0.005771195097037831,-0.004647599591419853,-0.0024004085801838976,-0.0024004085801838976,-0.00015321756894794218,0.002093973442288013,0.0032175689479059903,0.004341164453523968,0.004341164453523968,0.005464759959141946,0.006588355464759924,0.005464759959141945,0.003217568947905991,0.002093973442288013,-0.00015321756894794226,-0.00015321756894794218,-0.00015321756894794218,0.0009703779366700353,0.003217568947905991,0.0032175689479059903,0.0009703779366700355,0.003217568947905991,0.0020939734422880133,0.003217568947905991,0.003217568947905991,0.006588355464759924,0.005464759959141946,0.007711950970377901,0.008835546475995878,0.008835546475995878,0.007711950970377901,0.007711950970377901,0.007711950970377901,0.005464759959141946,0.006588355464759924,0.005464759959141946,0.005464759959141946,0.006588355464759924,0.008835546475995878,0.011082737487231833,0.015577119509703747,0.023442288049029585,0.03243105209397341,0.04479060265577116,0.06501532175689476,0.09647599591419811,0.13580183861082734,0.18748723186925428,0.252655771195097,0.3234422880490296,0.39198161389172625,0.4605209397344229,0.5178243105209397,0.5638917262512767,0.6009703779366701,0.6279366700715014,0.6459141981613892,0.6638917262512768,0.6796220633299285,0.6908580183861083,0.702093973442288,0.7155771195097037,0.7245658835546476,0.7313074565883554,0.7391726251276811,0.7481613891726251,0.7537793667007149,0.7605209397344227,0.7672625127681306,0.7740040858018385,0.7818692543411643,0.7852400408580182,0.7908580183861081,0.7931052093973441,0.79535240040858
well10,,,,,0.0006775832862789224,0.0019198193111236426,0.0019198193111236428,-0.0005646527385657979,-0.0018068887634105184,-0.0018068887634105184,-0.0005646527385657978,-0.0018068887634105184,0.0019198193111236433,0.0006775832862789227,0.0006775832862789227,0.0006775832862789227,0.0019198193111236433,0.0006775832862789228,0.0006775832862789227,0.0019198193111236433,0.0019198193111236433,0.0019198193111236433,0.0006775832862789229,-0.0005646527385657976,-0.001806888763410518,-0.0005646527385657976,-0.001806888763410518,-0.001806888763410518,-0.001806888763410518,-0.001806888763410518,-0.001806888763410518,-0.0005646527385657975,-0.0005646527385657975,0.0019198193111236435,0.0006775832862789229,-0.001806888763410518,-0.001806888763410518,-0.0018068887634105177,-0.0018068887634105184,-0.001806888763410518,0.0006775832862789229,-0.0005646527385657974,-0.001806888763410518,-0.004291360813099959,-0.005533596837944679,-0.0067758328627894,-0.0067758328627894,-0.0067758328627894,-0.0067758328627894005,-0.004291360813099959,-0.004291360813099959,-0.0030491247882552383,0.0006775832862789231,0.004404291360813084,0.0056465273856578044,0.008130999435347246,0.011857707509881407,0.013099943534726127,0.013099943534726127,0.01434217955957085,0.01682665160926029,0.01682665160926029,0.018068887634105007,0.01931112365894973,0.02179559570863917,0.02179559570863917,0.024280067758328614,0.024280067758328614,0.028006775832862773,0.030491247882552214,0.03297571993224165,0.03297571993224165,0.03421795595708638,0.03421795595708638,0.03421795595708638,0.03297571993224166,0.030491247882552214,0.030491247882552214,0.029249011857707497,0.028006775832862773,0.029249011857707497,0.031733483907396935,0.031733483907396935,0.03173348390739693,0.03297571993224165,0.031733483907396935,0.031733483907396935,0.03297571993224165,0.031733483907396935,0.031733483907396935
