time,well1,well2,well3,well4,well5,well6,well7,well8,well9,well10,well11,well12,well13,well14,well15,well16,shutter_speed,ISO
14:47:35,185,172,199,156,181,181,60,59,86,61,57,67,57,54,52,66,499907,200
14:48:06,189,176,200,161,185,184,60,60,92,62,58,66,57,54,52,66,499907,200
14:48:36,189,177,201,165,187,186,61,59,98,61,57,67,57,54,52,65,499907,200
14:49:07,188,176,195,168,188,185,62,60,108,62,59,69,60,57,54,67,499907,200
14:49:35,193,181,203,171,192,190,60,60,117,61,58,67,57,55,52,66,499907,200
14:50:06,195,183,204,174,193,191,61,59,127,62,57,66,58,54,53,66,499907,200
14:50:36,196,185,204,176,196,193,61,59,139,62,58,67,58,55,53,66,499907,200
14:51:07,199,188,205,178,197,195,61,60,152,62,58,67,57,55,52,66,499907,200
14:51:35,199,188,206,179,199,196,61,60,160,62,58,67,57,55,52,66,499907,200
14:52:06,203,191,208,181,199,197,61,60,172,63,58,67,58,55,53,67,499907,200
14:52:36,195,186,200,180,198,195,62,60,172,63,59,69,60,57,54,66,499907,200
14:53:07,204,193,208,184,202,200,60,58,182,62,57,66,56,54,51,65,499907,200
14:53:35,198,188,201,183,199,196,62,60,181,64,60,69,61,58,54,66,499907,200
14:54:06,201,190,202,184,200,197,63,61,186,65,60,70,60,57,55,68,499907,200
14:54:36,200,191,202,185,201,197,63,60,187,64,60,69,60,58,54,67,499907,200
14:55:07,206,196,209,189,205,203,61,60,195,64,58,67,58,55,53,66,499907,200
14:55:35,200,190,202,187,202,199,62,60,191,64,60,70,60,57,54,67,499907,200
